wavelength,gain_port_1,gain_port_2,gain_port_3,gain_port_4,gain_port_5,gain_port_6,gain_port_7,gain_port_8
1545.1005191311042,-14.178632578068175,-17.47610279492597,-16.673273510220533,-5.788998831599125,-4.17942465411067,-15.916674339371843,-17.30440393200945,-14.622219832485293
1545.0656239111515,-14.156104596031014,-17.60766104042568,-16.888875827757644,-6.218755304765731,-3.8725953899111847,-15.839449731340533,-17.38493317130786,-14.850621116312139
1545.0307302673407,-14.173665057731979,-17.780216520664457,-17.134463781550387,-6.677335685368366,-3.584810436002882,-15.781497331758805,-17.5065879037779,-15.119637381393726
1544.9958381995652,-14.232689101876275,-17.99519076159899,-17.41266141120213,-7.167174313176343,-3.3152681467037697,-15.741506989135484,-17.67120548415065,-15.43114187662444
1544.960947707718,-14.335079943068688,-18.254534195843018,-17.726484483970815,-7.691130910844262,-3.0632355164403853,-15.718151736436283,-17.881156669777184,-15.787541059634334
1544.9260587916924,-14.483348292238016,-18.560805622033207,-18.0794373234134,-8.252583232360427,-2.8280483344014002,-15.71007909218546,-18.139461428673872,-16.19189042588385
1544.891171451382,-14.680725535133696,-18.91728542119299,-18.475640725845878,-8.855551224975681,-2.6091128191933914,-15.715904163231196,-18.44994548254328,-16.64805107443393
1544.8562856866793,-14.931323728599004,-19.328135589369186,-18.92000453675222,-9.504866253847586,-2.4059076737361518,-15.734204014496749,-18.817453637942172,-17.16090306337186
1544.8214014974783,-15.240362222473234,-19.798626394019013,-19.41846510987821,-10.206405584279798,-2.217985438851366,-15.763512871149395,-19.248145204858,-17.73664085407621
1544.7865188836718,-15.614491781829987,-20.335460528296217,-19.97831886059759,-10.967423302572666,-2.044972111034757,-15.802317978987768,-19.749912486162803,-18.383191827684442
1544.7516378451533,-16.062265933649385,-20.94724448672224,-20.608701911120185,-11.797027641827523,-1.8865642246124705,-15.84905635194052,-20.33299067169706,-19.11082620742416
1544.7167583818161,-16.59484262421869,-21.645190247787944,-21.3212991346631,-12.706887989041466,-1.7425229603976438,-15.902113134483127,-21.010877017473856,-19.933076267259146
1544.6818804935533,-17.227060941942593,-22.444192017291847,-22.131427529737834,-13.712316475231653,-1.6126652919405828,-15.959822824517238,-21.801771403156543,-20.868176919947288
1544.6470041802586,-17.979157685394878,-23.364542811189736,-23.05975884316117,-14.83398903958898,-1.4968526598215104,-16.020475035620056,-22.730940480808442,-21.94142989749716
1544.612129441825,-18.879637247941982,-24.434804348073108,-24.13519501975719,-16.100819520137765,-1.3949781071108736,-16.08232670860682,-23.8348201442505,-23.18930625334662
1544.5772562781458,-19.97036489052973,-25.69690032137009,-25.39996662940247,-17.55505689829267,-1.3069531460492547,-16.14362259602005,-25.168650202429678,-24.66708106964465
1544.5423846891144,-21.31632616495654,-27.215875811904642,-26.91939708988476,-19.26204849475123,-1.2326957973151866,-16.202625354054224,-26.822041444154593,-26.464400557047053
1544.5075146746244,-23.026335748682158,-29.100606099820606,-28.80261598339991,-21.33095239568151,-1.172121209964324,-16.25765565822016,-28.954959485389832,-28.741265938216173
1544.4726462345686,-25.30374385575717,-31.554503038048985,-31.253269652896737,-23.96544727853374,-1.1251360232225647,-16.307141471278157,-31.897805710411248,-31.82811442636002
1544.4377793688411,-28.600904701471737,-35.0299834621438,-34.72399356563025,-27.618204109932464,-1.091637196850054,-16.349674093405234,-36.5298708004575,-36.60427279254098
1544.4029140773348,-34.31237940145566,-40.92167201384814,-40.60961882617357,-33.68409208462898,-1.07151547355113,-16.38406716162963,-46.956673537187385,-47.17529620905215
1544.3680503599433,-48.414003625991995,-55.205455687997464,-54.88619512892075,-48.13925703309201,-1.0646647373535247,-16.409468616464235,-42.57384325531953,-42.9368873222494
1544.3331882165598,-33.92101209036286,-40.89664256329952,-40.56925417196859,-33.99922636923585,-1.0709904589534178,-16.425264364228,-34.6839266291103,-35.19159820368278
1544.2983276470777,-27.865440906326036,-35.0273354764756,-34.69109307971704,-28.296332050875254,-1.0904221314684979,-16.431235833955647,-30.53950663821473,-31.192043846609838
1544.2634686513907,-24.213018697755253,-31.563328351356667,-31.217694795207187,-24.99660084842949,-1.1229262346208067,-16.42755634505628,-27.723305771698076,-28.520984565694288
1544.2286112293923,-21.57610183934702,-29.117042912652877,-28.761672383927547,-22.71269038893351,-1.168517228372408,-16.41478429313472,-25.59320072669078,-26.536335411446363
1544.1937553809753,-19.503437733908704,-27.237291658905086,-26.872034152541335,-20.993654050595133,-1.227265603292465,-16.393843991635798,-23.885281176265046,-24.974224989016243
1544.1589011060337,-17.791749249547806,-25.72086192895036,-25.345769646707975,-19.636526771272433,-1.299301763103137,-16.365988528240738,-22.465419277813442,-23.70056501949804
